ticker,S3a,S3b,S3c,S3d,S3_total,lm_positive_ratio,lm_negative_ratio,commitment_ratio,uncertainty_density,litigious_density,stakeholder_specificity,accountability_ratio,temporal_commitment,adversity_resilience,s3c_slope,s3c_years,p1_flag,base_score,S1,S1_rationale,S2,S2_rationale,S4,S4_rationale,S5,S5_rationale,confidence,llm_P1,llm_P1_reason,llm_P2,llm_P2_reason,llm_P4,llm_P4_reason,llm_P8,llm_P8_reason,llm_B1,llm_B1_reason,llm_B2,llm_B2_reason,llm_B3,llm_B3_reason,llm_B4,llm_B4_reason,P1_auto,P5,llm_penalties_total,llm_bonuses_total,adjusted_score,purpose_score
A,0.7,1.0,0.9,0.5,1.6,0.0066,0.0071,0.576,0.0059,0.0037,0.131,0.6419,0.5487,0.0108,0.000413,10,0,5.35,1.0,"10-K passages contain only generic values/health-safety/community language without an articulated mission naming who is served and how; DEF 14A mentions a mission 'to advance the quality of life' only briefly in ESG sections, lacking differentiated strategic commitment.",1.0,"Mission/values/human capital sections are absent from 2016-2020 filings and only appear from 2021 onward, indicating reactive adoption rather than foundational embedding, with later years (2023-2025) actually dropping COVID-era stakeholder language.",0.5,"Compensation passages show only financial metrics (revenue, operating margin, EPS, TSR) plus generic 'key business initiatives' like Free Cash Flow and Productivity; no non-financial purpose metric (employee, safety, diversity) is named in the bonus formula, and the Nominating/Governance Committee ESG oversight is reporting-only, not a binding stakeholder mandate.",1.25,"DEF 14A names specific groups (employees, customers, partners, suppliers) with measurable commitments (net-zero by 2050, 50% scope 1&2 reduction by 2030, 38% female workforce, 45% board diversity), but 10-K stakeholder content is generic volunteer/safety language without measurable targets, creating inconsistency across filing types.",,0.0,"Mission language remains substantively identical across 2021–2025 with only minor COVID-19 context adjustments and addition of community volunteer details in 2023+; core framing of values, employee development, health/safety priority, and stakeholder commitment unchanged.",0.0,P1 not triggered; therefore P2 cannot trigger.,0.0,"No passages document material adverse actions (layoffs, environmental violations, community harm) against stated stakeholder beneficiaries (employees, communities); adversity passages contain only forward-looking financial language without operational harm to purpose beneficiaries.",0.0,"Purpose language (values, health/safety, community, employee development) appears embedded in formal ESG/sustainability sections of 10-K, not isolated to dedicated external ESG reports; language is integrated into company filings, not siloed.",0.5,"Mission language demonstrates institutional continuity across multiple filing years (2021–2025) with consistent emphasis on employee development, values, health/safety, and community—language predates and transcends any single leadership period, suggesting embedded institutional purpose.",0.0,Passages show COVID-19 safety measures and ongoing programs but do not document costly maintenance or strengthening of purpose commitments during documented financial/operational stress; adversity passages lack evidence of sacrificial decision-making.,0.0,"Governance passages describe Board oversight of ESG and employee benefits via Nominating/Corporate Governance Committee, but this is advisory, discretionary oversight—not a legally binding, formally constituted non-shareholder stakeholder mechanism with veto or profit-sharing rights.",0.0,"Adversity passages (2023–2025 MD&A) contain forward-looking statements and financial planning but do not explicitly invoke mission, values, or purpose language as an anchor during periods of challenge.",0.0,-0.5,0.0,0.5,5.35,0.3821
AAP,0.35,1.0,0.5,0.5,0.85,0.0074,0.0064,0.4817,0.0082,0.004,0.139,0.5258,0.4499,0.0076,-7e-05,9,0,6.1,1.5,"Annual report passages consistently identify served customers (professional installers, DIY customers, independently owned operators) and product offerings, but no formal mission statement beyond the referenced 'Passion for Customers...Passion for Yes!' tagline; governance passages lack operational mission language, focusing instead on governance mechanics and board composition.",1.0,"The year-coverage analysis confirms zero years with dedicated mission/purpose sections across all filing years 2017-2025; the business overview language ('leading automotive aftermarket parts provider in North America, serving both professional installers and DIY customers') is stable but purely descriptive, with no purpose-framing evolution and a near-zero decay slope confirming flat rather than strengthening commitment.",1.5,"The 2021 proxy explicitly documents a DEI modifier in the Annual Incentive Plan (AIP) that adjusts NEO payouts by up to +/-10 percentage points based on individual DEI goal achievement, confirmed by actual 2021 AIP payout of 195% modified per DEI performance — this is a documented non-financial metric embedded in the bonus formula, though it is a modifier rather than a primary metric.",1.25,"Specific stakeholder groups are named — team members (with measurable safety metrics: 10% reduction in reportable incidents, 13% reduction in automobile collision frequency), professional and DIY customers, stockholders (with specific capital return figures like $515M in 2020 and $291M in 2018) — but commitments to non-shareholder groups remain largely aspirational without binding targets across all filings.",,0.0,No explicit mission/purpose statement passages provided across years; passages show consistent business overview framing ('leading automotive aftermarket parts provider') with no evidence of substantial rewriting.,0.0,P1 not triggered; therefore P2 cannot trigger regardless of financial distress evidence.,0.0,"No passages document material adverse actions (layoffs, environmental violations) explicitly contradicting stated purpose beneficiaries; transformation expenses and store closures mentioned but not framed as contradicting stakeholder commitments.",0.0,"No dedicated ESG/sustainability sections provided in passages; business overview language appears only in standard Item 1 Business sections, not isolated to ESG areas.",0.0,No mission/purpose statement language identified in passages across multiple years; insufficient evidence to demonstrate institutional continuity predating leadership.,0.0,"While COVID-19 adversity documented in 2021-2022 passages ('prioritize health, safety and wellbeing'), no specific costly documented decision is evidenced (e.g., maintained wages, expanded benefits) distinct from routine operations.",0.0,"Passages describe advisory say-on-pay votes and board evaluation processes, but no non-advisory binding stakeholder accountability mechanism such as employee board representation, profit-sharing formula, or community veto rights.",0.0,"Adversity passages (COVID-19, transformation, financial pressure) do not explicitly invoke mission/purpose/values language as an anchor; language is operational only.",0.0,-0.5,0.0,0.0,5.6,0.4
AAT,0.7,1.0,0.5,0.5,1.2,0.0062,0.0071,0.5647,0.0095,0.0056,0.0711,0.5766,0.5034,0.0104,-3.8e-05,9,0,5.45,1.0,"10-K describes AAT as a REIT that 'owns, operates, acquires and develops high quality office, retail, multifamily and mixed-use properties in attractive, high-barrier-to-entry markets' — this is a business description, not a mission with a clear purpose for whom served and how; no genuine mission statement appears in either 10-K body or DEF 14A.",1.5,"The business description language is highly stable from 2017-2025 with only minor portfolio-count changes, but it is operational/descriptive rather than purpose language, and ESG/stakeholder framing only appeared from ~2019-2020 onward, indicating reactive adoption.",0.5,"Compensation passages tie executive bonuses and restricted stock vesting to financial metrics (TSR, FFO, NOI) and discretionary individual performance; no non-financial purpose metrics are named in the bonus formula, and the ESG Committee lacks a binding stakeholder mandate over capital allocation.",1.25,"DEF 14A names specific stakeholder groups (stockholders, tenants, vendors, employees, customers, communities) with some concrete activities (Hope on Wheels, Tribute to Teachers, 171 EVC stations, GRESB 'A' score, 2030 Scope 1&2 carbon neutrality goal), but commitments are largely aspirational and stakeholder language is absent from the 10-K body.",,,,,,,,,,,,,,,,,,0.0,-0.5,0.0,0.0,4.95,0.3536
AB,0.35,1.0,0.5,0.5,0.85,0.0103,0.0126,0.3947,0.017,0.0054,0.2021,0.3836,0.5312,0.0499,0.000612,9,0,6.35,2.5,"Mission clearly stated in 10-K ('help our clients define and achieve their investment goals... unlock opportunity for our clients') with named beneficiary (clients) and method (active management/differentiated insights), present in 10-K body across multiple years but not evidenced in DEF 14A operational language.",1.5,"Purpose/mission language is absent from 2017-2020 filings (only TOC shown) and appears starting in 2021/2022 with notable drift (e.g., 'distinctive insight' with ESG/climate emphasis in 2022-2023 shifted back to 'distinctive knowledge' dropping ESG framing in 2024-2025), indicating reactive adoption plus wording instability.",0.5,"DEF 14A compensation passages reference only financial/Unitholder alignment metrics and generic 'Relentless Ingenuity' culture competencies; no binding non-financial purpose metric, stakeholder-mandated committee charter, or capital allocation tied to purpose metrics is documented.",1.0,"10-K names specific groups (clients, employees, communities, Unitholders) and references diversity/green buildings/AB Gives Back, but commitments remain aspirational ('seek to', 'strive to') without measurable targets, and DEF 14A focuses on Unitholders/employees only.",,0.0,"Mission language remains substantially consistent across 2021-2025: 'help our clients define and achieve their investment goals' and core values ('invest in one another,' 'distinctive insight/knowledge,' 'speak with courage and conviction,' 'act with integrity') are preserved with only minor refinements in phrasing, not a material rewrite.",0.0,"P1 not triggered; therefore P2 cannot trigger. Additionally, no documented financial distress requiring cost-cutting or restructuring layoffs is evident in the provided passages.",0.0,"No passages document material adverse actions against stated beneficiary groups (clients, employees, communities); COVID-19 impact is mentioned but no documented contradictory actions such as mass layoffs, environmental violations, or community harm are presented.",0.0,"Purpose and values language (mission to help clients, invest in one another, diversity, talent acquisition, ESG portfolios) appears throughout the 10-K business and strategy sections, not confined to dedicated ESG/sustainability sections only.",0.5,"Mission language remains unchanged and substantially identical across 2021-2025 filing window ('help our clients define and achieve their investment goals'), demonstrating institutional continuity independent of any single leadership period.",0.0,No passages show documented costly decisions to maintain or strengthen purpose commitments during financial stress; COVID-19 impact is mentioned descriptively but no specific evidence of purpose-driven investment decisions during adversity is provided.,0.0,"Governance passages describe shareholder voting procedures, director compensation, and Compensation Committee processes but contain no evidence of formally binding non-shareholder stakeholder accountability mechanisms such as employee board representation or community veto rights.",0.0,"While COVID-19 adversity is mentioned in 2022 adversity passage, it does not invoke mission/purpose/values language as an anchor; purpose language appears only in separate dedicated sections, not integrated into adversity discussion.",0.0,0.0,0.0,0.5,6.85,0.4893
ABBV,0.35,1.0,0.5,0.5,0.85,0.0074,0.0074,0.4529,0.0065,0.0048,0.1647,0.585,0.5906,0.0052,7.2e-05,9,0,7.85,2.0,"AbbVie's mission ('use its expertise, dedicated people and unique approach to innovation to develop and market advanced therapies that address some of the world's most complex and serious diseases') appears consistently in both annual report MD&A sections and proxy governance passages, naming specific disease areas and patient populations, but lacks full differentiation as the framing is generic biopharmaceutical language.",2.0,"The core mission language ('develops and markets advanced therapies that address some of the world's most complex and serious diseases') is present from the earliest 2017-2018 filings through 2025, showing stable longitudinal consistency, though the 2021+ filings added 'diversified' and portfolio language following the Allergan acquisition, representing a minor but noticeable wording shift.",1.25,"S4 Compensation passages (2023-2024 proxy) explicitly state 'Incorporation of ESG into the strategic/leadership goals within the annual incentive plan' and confirm the ESG goal was 'weighted 10% within the short-term incentive program for each NEO,' with documented 2023 achievements (218,000 patients provided medicine at no cost, SBTi validation), constituting a partial binding mechanism, though specific non-financial metric thresholds in the bonus formula are not disclosed.",1.75,"Multiple specific stakeholder groups are named with quantified commitments: patients (235,000+ U.S. patients provided medicine at no cost in 2024, 500+ patient support programs), employees (57% women in STEM roles, 37% U.S. underrepresented populations), communities ($350M charitable contributions, specific nonprofit partnerships), and environmental targets (26% Scope 1&2 emissions reduction vs. 2021 baseline), though commitments are primarily aspirational ESG reporting rather than legally binding obligations.",,0.0,"Mission language remains consistent across 2017-2024 filings, with AbbVie described as 'global, research-based biopharmaceutical company' using 'expertise, dedicated people and unique approach to innovation to develop and market advanced therapies' — natural portfolio evolution (immunology, oncology, aesthetics added) does not constitute material rewrite of core mission framing.",0.0,P1 not triggered; condition cannot be evaluated.,0.0,"No passages document material adverse actions against stated beneficiary groups (patients, employees, communities); patent expiration and generic competition are market/competitive risks, not documented harm to named stakeholders.",0.0,"Mission and purpose language ('develop and market advanced therapies that address some of the world's most complex and serious diseases') appears throughout MD&A business overview sections in 2017, 2021-2024 filings, not clustered solely in ESG/sustainability sections.",0.5,"Mission language appears unchanged from 2017 through 2024 across multiple filings, indicating institutional continuity of purpose statement independent of specific leadership transitions.",0.0,"Passages describe patent expirations and competitive pressures but do not show documented costly decisions to maintain or strengthen purpose commitments (employee programmes, community investment) during financial stress periods.",0.0,"Passages describe board governance structures, nominations and governance committee oversight, and related-party transaction review procedures, but none establish non-advisory, binding stakeholder mechanisms (employee board seats, community veto rights, binding profit-sharing) that give non-shareholder stakeholders formal decision-influencing power.",0.0,"Adversity passages (patent loss, patent challenges, HUMIRA revenue decline 2017-2022) do not cite or invoke mission/purpose/values language as an anchor during financial difficulty.",0.0,0.0,0.0,0.5,8.35,0.5964
ABCB,0.7,1.0,0.1,0.5,0.7999999999999999,0.0074,0.0049,0.5915,0.0081,0.0052,0.1164,0.6433,0.5094,0.0092,-0.000444,9,1,4.55,1.0,10-K Business Overview describes ABCB as a financial holding company providing 'a full range of banking services to its retail and commercial customers' in select Southeast markets — generic descriptive framing with no differentiated mission or purpose statement; DEF 14A references generic 'core values' without articulation.,1.5,"Business descriptions are nearly identical across 2017-2025 (stable boilerplate), but no genuine mission/purpose language exists in any year — the consistency is of generic descriptive text, not purpose, and ESG/sustainability language only emerged in DEF 14A from 2021 onward.",0.25,"Compensation passages reference only financial metrics (EPS, ROA, ROTCE, TSR, deposit growth, efficiency ratio) with no non-financial purpose-linked metrics in incentive formulas; Corporate Governance Committee oversees ESG but no binding stakeholder mandate or capital allocation tied to purpose.",1.0,"DEF 14A ESG sections name specific groups (employees, communities, first-time homebuyers, VA/FHA/USDA borrowers, low-to-moderate income borrowers) with some quantified outputs ($2.5M philanthropy, 8,989 first-time homebuyers, $1.3B LMI loans), but these are backward-looking disclosures not forward measurable commitments, and the 10-K body lacks stakeholder integration.",,0.0,No mission/purpose statements provided in passages — only table of contents and boilerplate forward-looking statements language; cannot assess material rewriting without substantive mission text.,0.0,P1 not triggered; P2 cannot trigger independently.,0.0,"No stated purpose/mission beneficiaries identified in passages, and no documented material adverse actions against stakeholder groups are present in the provided excerpts.",0.0,"No dedicated ESG/sustainability sections are present in the provided passages; passages contain only table of contents, forward-looking statement boilerplate, and business overview language without purpose clustering in any section.",0.0,Passages contain no mission/purpose language across years; continuity cannot be assessed without substantive statement text.,0.0,"No documented financial distress or operational stress is explicitly described in passages, and no costly purpose-aligned decisions during adversity are narrated.",0.0,"Passages describe executive compensation, board governance, and director education but contain no binding non-shareholder stakeholder accountability mechanism such as profit-sharing, employee board representation, or community veto rights.",0.0,"While 2023-2024 passages reference banking sector stress (deposit withdrawals, liquidity challenges), no explicit invocation of company purpose or mission language appears in adversity contexts.",0.0,-0.5,0.0,0.0,4.05,0.2893
ABG,0.7,1.0,0.5,0.5,1.2,0.0081,0.0082,0.5089,0.0103,0.0054,0.0737,0.6573,0.4785,0.0239,0.000134,9,0,6.2,2.0,"Mission to be 'most guest-centric automotive retailer' is specific and consistent across 10-K business sections with three guiding principles, but DEF 14A only references it indirectly through ESG/strategic objectives rather than as operational language in proxy body.",1.5,"Mission/purpose language is entirely absent from 2017-2020 10-K Business sections (which contain only operational descriptions) and first appears in 2021 filings, indicating reactive adoption rather than foundational embedding.",0.5,"DEF 14A references ESG strategy advancement as a strategic objective (20% weight) in bonus formula and CD&A mentions guest-centric mission, but no specific non-financial purpose metric (e.g., guest satisfaction %, employee retention target) is named as a binding component of the incentive formula.",1.0,"Specific groups named (guests, employees/team members, communities via Asbury Cares, partners) with programs like 40 hours volunteer PTO and DE&I initiatives, but commitments are largely aspirational without measurable targets or quantified stakeholder metrics.",,0.0,"Mission statement 'be the most guest-centric automotive retailer' remains substantively unchanged across 2022-2025; only minor wording refinements (e.g., 'put guest experience as our North Star' vs. 'put the guest experience first') represent natural evolution, not material rewriting.",0.0,"P1 not triggered; therefore P2 cannot trigger. Additionally, no passages document financial distress coinciding with 2021-2025 mission periods.",0.0,"Passages identify employees as 'greatest asset' and commit to investing in their development, but no adversity passages document material adverse employment actions (mass layoffs, wage cuts) that contradict this commitment during the same filing window.",0.0,"Mission and purpose language appear in core Item 1 Business sections across 2022-2025 filings, not isolated to ESG/sustainability sections; language is integrated throughout main business strategy narrative.",0.5,"Mission 'be the most guest-centric automotive retailer' and supporting principles (fun culture, stewardship, caring professionals) remain institutionally consistent across 2021-2025 filings spanning multiple board compositions, indicating purpose predates and transcends individual leadership.",0.0,Passages show no documented costly decisions maintaining employee or community programs during documented financial stress; adversity passages describe risk factors but provide no evidence ABG strengthened purpose commitments in response to operational difficulty.,0.0,"Governance passages describe board committees (Compensation & Human Resources, Capital Allocation & Risk Management) that oversee employee compensation and ESG strategy, but these are advisory/oversight bodies with no evidence of binding stakeholder veto rights, profit-sharing formulas, or formal employee board representation.",0.0,Adversity passages (2017-2020 risk factor sections) describe general economic sensitivity and cyclical retail challenges but do not explicitly invoke mission/purpose language as an anchor during those periods of documented or stated financial difficulty.,0.0,-0.5,0.0,0.5,6.2,0.4429
ABM,0.7,1.0,0.5,0.5,1.2,0.0072,0.0057,0.566,0.0082,0.003,0.1447,0.5606,0.5639,0.0068,1.8e-05,10,0,7.4,2.2,"ABM states a clear mission ('to make a difference, every person, every day' and 'take care of the people, places, and spaces that matter to our clients') present in both annual reports and proxy filings with operational language, but the dual framing and generic 'spaces/places' wording prevents a top score.",1.5,"The 2016 filing contains a mission statement ('take care of the people, places, and spaces') but 2017-2019 filings are absent any mission/purpose sections, with substantive purpose language only reappearing consistently from 2020-2025, capping the score at 1.5 per framework rules.",1.0,"Multiple compensation passages explicitly state that annual cash incentive bonus is 'tied to annual financial, safety and individual performance measures,' indicating safety as a non-financial metric in the incentive formula, but no specific safety rate targets, thresholds, or weightings are disclosed in the provided passages, preventing a higher score.",1.5,"ABM names specific stakeholder groups — employees (frontline workers, ~113,000-127,000), clients (schools, airports, hospitals), communities (ABM Cares program), investors, vendors, and union-represented workers (~36,000 across 250+ CBAs) — with aspirational but program-backed commitments such as the Culture & Inclusion Council, Team Member Relief Fund, and safety-first protocols, though measurable targets are largely absent.",,-1.0,"Mission statement materially rewritten from 2016 'take care of the people, places, and spaces that matter to our clients' (service-focused) to 2022 'make a difference — for all those we serve, including our employees, clients, shareholders, communities, and the world around us' (stakeholder-inclusive), representing a fundamental shift in scope and framing.",0.0,"P1 triggered but no passages in the adversity section document financial distress or cost-cutting contemporaneous with the 2022 mission rewrite; employee count actually increased from ~117,000 (2024) to maintained workforce levels.",0.0,"Passages identify employees as mission beneficiaries and consistently affirm workplace inclusion, diversity, and safety commitments; no passages document mass layoffs, environmental violations, or material adverse actions against named stakeholder groups.",0.0,"Mission and purpose language appears throughout business and strategy sections (2021-2025), not confined to dedicated ESG sections; values, culture, and 'making a difference' are referenced in governance, human capital, and operational contexts.",0.5,"Mission language remains substantively consistent across multiple filing years (2021, 2022, 2023, 2024, 2025) with the same core values (respect, integrity, collaboration, innovation, trust, excellence) and commitment to employees feeling 'seen, heard, and valued,' indicating institutional rather than leadership-dependent framing.",0.0,"Passages show workforce investments (Culture and Inclusion Leadership Council, ABM University, Team Member Relief Fund) but no documented financial adversity or costly maintenance of purpose commitments during a period of material revenue decline or operational stress.",0.0,"Governance passages describe Board committees (Stakeholder and Enterprise Risk Committee, Culture and Inclusion Leadership Council) and employee Impact Groups but characterize these as advisory structures with discretionary oversight, not as legally binding or formally constituted non-shareholder accountability mechanisms.",0.0,Passages provided do not document a period of financial difficulty or operational challenge; purpose and mission language appears consistently across years without explicit invocation during adversity as an anchor or stabilizer.,0.0,-0.5,-1.0,0.5,6.4,0.4571
ABR,0.7,1.0,0.5,0.5,1.2,0.0051,0.0039,0.5467,0.007,0.0044,0.0824,0.5357,0.4714,0.0024,-0.000325,9,0,3.95,0.5,"10-K Item 1 Business sections describe operations (REIT providing loan origination/servicing for multifamily and commercial real estate via Structured and Agency Businesses) but contain no articulated mission, purpose, or differentiated value proposition naming who is served and how; DEF 14A letters are purely procedural meeting notices.",1.0,"No mission/purpose/values sections appear in any year (2017-2025); business descriptions remain operationally consistent but purpose language is absent throughout, with ESG/sustainability language only emerging in DEF 14A from 2021 onward — indicating reactive rather than foundational embedding.",0.5,"Compensation passages show CEO incentive goals tied exclusively to financial metrics (AFFO, corporate capital growth, balance sheet management, portfolio risk, agency servicing portfolio growth); no non-financial purpose metrics in bonus formulas; Corporate Governance Committee charter references ESG oversight but no binding stakeholder mandate or capital allocation tied to purpose metrics.",0.75,"DEF 14A (2021+) names specific groups — underserved youth via Project Destined, diverse workforce via Future Housing Leaders, communities via tree planting — but commitments are aspirational initiative descriptions without measurable targets; 10-K filings contain no comparable stakeholder language, showing inconsistency across filing types.",,,,,,,,,,,,,,,,,,0.0,-0.5,0.0,0.0,3.45,0.2464
ABR-PD,0.7,1.0,0.5,0.5,1.2,0.0051,0.0039,0.5467,0.007,0.0044,0.0824,0.5357,0.4714,0.0024,-0.000325,9,0,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.2,0.0857
